1.99+0i,0.044970806234175-0.0230755919137707i
2+0i,0.0500861153694525-0.0193528578556411i
2.01+0i,0.0496375803004881-0.0312751439528899i
2.02+0i,0.0471721944613517-0.0159950550510047i
2.03+0i,0.0498461549813713-0.0317451535423394i
2.04+0i,0.043586914285891-0.0200487550663986i
2.05+0i,0.0476770566808085-0.0241966829050821i
2.06+0i,0.0467526538472965-0.0309582275932613i
2.07+0i,0.050337613761033-0.0208180250823956i
2.08+0i,0.0498576046579779-0.031750067747467i
2.09+0i,0.0456516216643989-0.0151650992652516i
2.1+0i,0.0484559115492007-0.0290510627127353i
2.11+0i,0.0433625114523805-0.023955921278553i
2.12+0i,0.0499388966852324-0.0206463589897157i
2.13+0i,0.049321840739081-0.0313360212948395i
2.14+0i,0.0483928527045239-0.0150435515707036i
2.15+0i,0.0510016312297523-0.030795340025813i
2.16+0i,0.0458695233099755-0.0174520816766426i
2.17+0i,0.0500036735841637-0.0222646314476139i
2.18+0i,0.0461342661362761-0.0278538812461521i
2.19+0i,0.0477071989500343-0.0178440228681027i
2.2+0i,0.0470126000436018-0.0329908835142954i
2.21+0i,0.0450131774669771-0.0164398069803629i
2.22+0i,0.0495146809472787-0.0291436648300766i
2.23+0i,0.0449939905751933-0.023980371009018i
2.24+0i,0.0491006165816062-0.0184097303005992i
2.25+0i,0.047088556021079-0.0289038812461504i
2.26+0i,0.0446547526640172-0.0165623160057565i
2.27+0i,0.0453140379344424-0.0322727112706625i
2.28+0i,0.0447842661362769-0.0194378455955384i
2.29+0i,0.0517707616592268-0.0256760540840267i
2.3+0i,0.0454685921643311-0.0287054908524231i
2.31+0i,0.0483555623035656-0.01913631507504i
2.32+0i,0.0493561011776751-0.0344261605447545i
2.33+0i,0.0473838627503421-0.0172479269017233i
2.34+0i,0.0502347938959877-0.0297261761357905i
2.35+0i,0.0421190989095268-0.0232347471630342i
2.36+0i,0.049324660604127-0.0208963268608044i
2.37+0i,0.0475141035239014-0.0324028733966466i
2.38+0i,0.0463139882707775-0.0166037183231115i
2.39+0i,0.047989013102609-0.0318805637389665i
2.4+0i,0.0441799762514748-0.0184379838504256i
2.41+0i,0.0509125554686559-0.0241879906490633i
2.42+0i,0.0456120277089456-0.0286663952345656i
2.43+0i,0.0492507000841075-0.0199369516675222i
2.44+0i,0.0461517227016519-0.0337392468678284i
2.45+0i,0.0424153864481009-0.0177924602186976i
2.46+0i,0.0489718407390806-0.0294359327036195i
2.47+0i,0.0453620277089444-0.022278159705888i
2.48+0i,0.0515555673922841-0.0187456659349287i
2.49+0i,0.0472668899284012-0.0285538812461519i
2.5+0i,0.0469625503799343-0.0165053600583006i
2.51+0i,0.0497053905881335-0.0322142248027064i
2.52+0i,0.0453683934087052-0.0177988290634574i
2.53+0i,0.0502233442193836-0.0256635432406069i
2.54+0i,0.0450185265748714-0.027849511003848i
2.55+0i,0.0468028255627307-0.017088214734961i
2.56+0i,0.0458239611289842-0.0326068539602425i
2.57+0i,0.0439631723782564-0.0181941289940796i
2.58+0i,0.048176125535162-0.0321630898127188i
2.59+0i,0.0446983639624951-0.0225693811806594i
2.6+0i,0.0505587075190539-0.0220864036662651i
2.61+0i,0.0471194577205147-0.0343174682887429i
2.62+0i,0.0474156955954261-0.0172879838504209i
2.63+0i,0.0490120932984045-0.0314348536237644i
2.64+0i,0.0460512159564554-0.0173677647757388i
2.65+0i,0.0512531816070081-0.0249581325816852i
2.66+0i,0.0447239611289846-0.0268549455579623i
2.67+0i,0.0476811594700533-0.0210337325148876i
2.68+0i,0.0464897006903902-0.0352860598441066i
2.69+0i,0.0450783396050069-0.0167598685554869i
2.7+0i,0.0500739165540373-0.0311745394893244i
2.71+0i,0.0436211747244835-0.0215879020578468i
2.72+0i,0.0478235108460968-0.0215543522087912i
2.73+0i,0.0460146758585594-0.0315413433625396i
2.74+0i,0.0471825798261441-0.016701996230421i
2.75+0i,0.0494581769926325-0.033901030409943i
2.76+0i,0.0467989413858719-0.0187546494687554i
2.77+0i,0.0523505334573941-0.0260689777947222i
2.78+0i,0.0466955775579953-0.0274955625691652i
2.79+0i,0.0489218741996269-0.018682517167398i
2.8+0i,0.0466011503669946-0.0317245716182366i
2.81+0i,0.0433820520664331-0.0137640877621107i
2.82+0i,0.0499402284500994-0.0291978422284706i
2.83+0i,0.0450141035239035-0.0212758800465819i
2.84+0i,0.0495435724212177-0.0217847619310726i
2.85+0i,0.0463647079874717-0.0329826304267699i
2.86+0i,0.0460254379473831-0.017736261757735i
2.87+0i,0.0491043790849868-0.0345043942378195i
2.88+0i,0.0448665163493721-0.0197509370073299i
2.89+0i,0.049701304547675-0.0275146929986409i
2.9+0i,0.045861515875027-0.0281526388584678i
2.91+0i,0.0483864640030015-0.0206314207266733i
2.92+0i,0.0467946515010676-0.035104008386639i
2.93+0i,0.0457130713410017-0.018406708571958i
2.94+0i,0.0501934007057854-0.0336311925359261i
2.95+0i,0.0458749808658521-0.0217145189611987i
2.96+0i,0.0504494691455821-0.0226922805338664i
2.97+0i,0.0444715804324278-0.0304657411073324i
2.98+0i,0.0452064548999449-0.0159405465538177i
2.99+0i,0.0474686242932418-0.035759256457278i
3+0i,0.0447882949284606-0.0210820573191537i
3.01+0i,0.0513962435725911-0.0310374591856846i
3.02+0i,0.0477764843461517-0.0292764693573241i
3.03+0i,0.0502265228954181-0.0203216962877588i
3.04+0i,0.0460351972819209-0.0350794903000038i
3.05+0i,0.0449304475488785-0.0181531658452124i
3.06+0i,0.0488189978722736-0.034396733341708i
3.07+0i,0.0457835555467356-0.0228242755290276i
3.08+0i,0.0526669109429157-0.0229939461642466i
3.09+0i,0.0454657722992832-0.0324482813969571i
3.1+0i,0.0453401430038821-0.0179931997921518i
3.11+0i,0.0477371181302352-0.0351140034236119i
3.12+0i,0.0454034300262984-0.0186143647805222i
3.13+0i,0.0503368697109437-0.0290781863612921i
3.14+0i,0.0437011503669941-0.028004945557965i
3.15+0i,0.0480888966852329-0.0198365459595781i
3.16+0i,0.045799074552039-0.0350051851848596i
3.17+0i,0.0444126000436012-0.0179435566594222i
3.18+0i,0.0509902284501013-0.0328076552586035i
3.19+0i,0.0463733391306631-0.0219764845101527i
3.2+0i,0.0497325798261432-0.0237640591129568i
3.21+0i,0.0435509786515624-0.0317357705535423i
3.22+0i,0.0439912876731935-0.0190703890301638i
3.23+0i,0.0468022802682655-0.0364662830829156i
3.24+0i,0.0431713785688291-0.0178188855498628i
3.25+0i,0.0492690543345791-0.0282787908248614i
3.26+0i,0.0444592413044427-0.0263826506683249i
3.27+0i,0.0481164396455142-0.0196202340635164i
3.28+0i,0.0466320520664297-0.0344752004152035i
3.29+0i,0.0450255532005075-0.0163581612308381i
3.3+0i,0.0502381526351395-0.0316800061723547i
3.31+0i,0.0455598136391004-0.0205368134126374i
3.32+0i,0.0497940295027503-0.0257172846859411i
3.33+0i,0.0446281678895731-0.0339183943456679i
3.34+0i,0.0463385063574152-0.02043241104142i
3.35+0i,0.0471842661362752-0.0353451237354365i
3.36+0i,0.0433820520664343-0.0169140380984411i
3.37+0i,0.0463770515920868-0.0284739286054042i
3.38+0i,0.0386103970881567-0.0222815414468038i
3.39+0i,0.0445774405882725-0.0168647017910369i
3.4+0i,0.0440348655111262-0.0307348394078953i
3.41+0i,0.042818411321745-0.013508509864394i
3.42+0i,0.0464462881475374-0.0298097581137555i
3.43+0i,0.0418093514688511-0.0180345929823509i
3.44+0i,0.0493201842358515-0.0232939704976442i
3.45+0i,0.0448273372290145-0.0267881416847405i
3.46+0i,0.0445680198296733-0.0146530895261487i
3.47+0i,0.0450375187494608-0.0321652298854989i
3.48+0i,0.043019570206928-0.0129732990354776i
3.49+0i,0.0505662679300813-0.0285951348498326i
3.5+0i,0.0435260920746144-0.0240211262751118i
3.51+0i,0.04633550448553-0.0183624014519748i
3.52+0i,0.0435364751173972-0.0346793841740326i
3.53+0i,0.0437424374312254-0.015263515427454i
3.54+0i,0.0493913731194152-0.0336729028428501i
3.55+0i,0.0441807839102746-0.0192255533645087i
3.56+0i,0.0479280025944966-0.0233734329746005i
3.57+0i,0.0447239611289823-0.0304093240339882i
3.58+0i,0.0481627220953683-0.0167113990759788i
3.59+0i,0.0455860152691543-0.0363511357129271i
3.6+0i,0.0431566170500227-0.0161602691747082i
3.61+0i,0.0483581769926286-0.0299822472823911i
3.62+0i,0.0410462316852298-0.0272468546205139i
